,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,2
126,0
127,1
128,1
129,0
130,0
131,0
132,1
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,1
177,0
178,1
179,3
180,4
181,1
182,4
183,4
184,10
185,10
186,9
187,7
188,11
189,17
190,21
191,22
192,19
193,21
194,21
195,18
196,28
197,16
198,22
199,27
200,26
201,31
202,31
203,27
204,19
205,32
206,41
207,51
208,47
209,53
210,48
211,49
212,56
213,55
214,50
215,59
216,60
217,78
218,50
219,58
220,59
221,51
222,60
223,70
224,55
225,59
226,48
227,46
228,69
229,58
230,58
231,70
232,60
233,67
234,46
235,65
236,59
237,49
238,61
239,57
240,72
241,53
242,59
243,52
244,65
245,52
246,60
247,71
248,47
249,66
250,52
251,48
252,58
253,66
254,64
255,58
256,59
257,73
258,46
259,44
260,53
261,57
262,60
263,53
264,65
265,77
266,59
267,55
268,59
269,50
270,49
271,63
272,64
273,61
274,42
275,48
276,61
277,57
278,52
279,59
280,57
281,67
282,49
283,64
284,72
285,63
286,49
287,48
288,64
289,56
290,48
291,65
292,43
293,69
294,45
295,70
296,57
297,70
298,67
299,66
300,69
301,69
302,52
303,61
304,65
305,69
306,61
307,72
308,69
309,70
310,82
311,85
312,76
313,69
314,76
315,79
316,82
317,80
318,68
319,62
320,63
321,80
322,77
323,81
324,78
325,74
326,76
327,68
328,79
329,61
330,82
331,73
332,71
333,81
334,66
335,76
336,57
337,74
338,70
339,56
340,78
341,63
342,56
343,65
344,60
345,63
346,81
347,73
348,72
349,68
350,61
351,70
352,71
353,68
354,63
355,55
356,53
357,59
358,54
359,46
360,57
361,58
362,54
363,70
364,63
365,64
366,62
367,58
368,58
369,53
370,54
371,53
372,61
373,58
374,66
375,60
376,66
377,65
378,53
379,52
380,70
381,55
382,46
383,71
384,46
385,46
386,64
387,66
388,42
389,47
390,58
391,49
392,48
393,52
394,56
395,49
396,56
397,49
398,51
399,46
400,47
401,45
402,49
403,45
404,47
405,42
406,60
407,46
408,43
409,47
410,53
411,53
412,39
413,50
414,56
415,35
416,36
417,51
418,45
419,43
420,49
421,52
422,43
423,50
424,42
425,42
426,40
427,38
428,48
429,43
430,46
431,40
432,35
433,56
434,32
435,43
436,39
437,45
438,47
439,45
440,43
441,36
442,46
443,46
444,44
445,52
446,49
447,42
448,43
449,43
450,48
451,43
452,44
453,43
454,34
455,37
456,38
457,49
458,49
459,40
460,43
461,35
462,36
463,43
464,37
465,47
466,37
467,34
468,43
469,39
470,30
471,48
472,32
473,39
474,27
475,42
476,40
477,42
478,39
479,52
480,37
481,29
482,42
483,34
484,31
485,18
486,34
487,32
488,21
489,42
490,40
491,19
492,30
493,30
494,23
495,36
496,30
497,25
498,21
499,24
500,33
501,25
502,24
503,26
504,23
505,28
506,24
507,16
508,23
509,19
510,16
511,32
512,25
513,20
514,14
515,24
516,15
517,17
518,16
519,20
520,22
521,21
522,16
523,21
524,10
525,12
526,12
527,14
528,16
529,20
530,21
531,19
532,13
