,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,1
57,0
58,0
59,0
60,1
61,0
62,0
63,1
64,0
65,3
66,3
67,2
68,5
69,8
70,8
71,11
72,7
73,14
74,17
75,13
76,18
77,12
78,16
79,11
80,16
81,13
82,16
83,22
84,17
85,11
86,20
87,13
88,9
89,15
90,18
91,12
92,18
93,11
94,11
95,20
96,18
97,19
98,7
99,15
100,11
101,15
102,17
103,11
104,13
105,18
106,8
107,17
108,16
109,16
110,9
111,24
112,13
113,16
114,12
115,10
116,21
117,18
118,18
119,16
120,21
121,20
122,18
123,12
124,16
125,13
126,10
127,17
128,20
129,15
130,13
131,16
132,12
133,9
134,14
135,21
136,17
137,16
138,22
139,21
140,23
141,21
142,17
143,9
144,13
145,15
146,25
147,12
148,10
149,21
150,17
151,15
152,16
153,16
154,16
155,10
156,19
157,14
158,16
159,17
160,21
161,21
162,18
163,10
164,24
165,12
166,15
167,16
168,15
169,18
170,10
171,16
172,17
173,27
174,8
175,17
176,18
177,26
178,22
179,36
180,16
181,25
182,16
183,19
184,23
185,13
186,16
187,19
188,24
189,16
190,13
191,19
192,21
193,19
194,21
195,20
196,21
197,13
198,17
199,14
200,16
201,17
202,17
203,19
204,13
205,14
206,11
207,7
208,18
209,17
210,20
211,19
212,21
213,14
214,18
215,18
216,10
217,15
218,18
219,23
220,17
221,13
222,13
223,15
224,18
225,16
226,13
227,15
228,16
229,15
230,14
231,9
232,15
233,9
234,11
235,12
236,10
237,11
238,11
239,14
240,14
241,14
242,9
243,11
244,10
245,16
246,15
247,20
248,12
249,8
250,12
251,14
252,11
253,8
254,11
255,16
256,10
257,24
258,14
259,8
260,15
261,12
262,11
263,10
264,13
265,13
266,10
267,10
268,12
269,15
270,9
271,16
272,10
273,12
274,6
275,15
276,9
277,7
278,8
279,9
280,13
281,13
282,10
283,12
284,16
285,6
286,9
287,12
288,7
289,7
290,9
291,12
292,15
293,10
294,13
295,9
296,8
297,15
298,4
299,7
300,12
301,3
302,11
303,10
304,8
305,12
306,8
307,8
308,4
309,5
310,10
311,8
312,14
313,11
314,9
315,12
316,17
317,7
318,11
319,11
320,11
321,13
322,14
323,15
324,8
325,9
326,11
327,7
328,11
329,8
330,10
331,13
332,11
333,5
334,6
335,8
336,7
337,6
338,8
339,8
340,11
341,15
342,8
343,10
344,11
345,5
346,6
347,10
348,11
349,12
350,7
351,9
352,9
353,7
354,13
355,7
356,7
357,10
358,8
359,14
360,13
361,10
362,10
363,7
364,12
365,5
366,8
367,5
368,8
369,9
370,12
371,6
372,11
373,13
374,10
375,15
376,8
377,9
378,7
379,14
380,9
381,9
382,12
383,7
384,1
385,7
386,7
387,7
388,3
389,6
390,12
391,9
392,15
393,9
394,10
395,5
396,12
397,4
398,11
399,9
400,11
401,7
402,8
403,6
404,18
405,8
406,13
407,12
408,12
409,11
410,3
411,10
412,13
413,10
414,9
415,7
416,12
417,13
418,6
419,12
420,6
421,7
422,10
423,10
424,4
425,13
426,7
427,7
428,8
429,5
430,9
431,8
432,7
433,8
434,9
435,13
436,8
437,8
438,7
439,9
440,7
441,7
442,6
443,11
444,7
445,5
446,6
447,6
448,13
449,8
450,7
451,7
452,0
453,5
454,8
455,4
456,7
457,12
458,4
459,6
460,6
461,6
462,2
463,2
464,0
465,4
466,2
467,8
468,3
469,5
470,1
471,5
472,4
473,6
474,4
475,3
476,3
477,3
478,2
479,0
480,3
481,2
482,3
483,2
484,8
485,1
486,0
487,2
488,3
489,5
490,5
491,4
492,1
493,4
494,6
495,2
496,1
497,1
498,1
499,0
500,1
501,3
502,0
503,1
504,3
505,2
506,2
507,1
508,5
509,1
510,4
511,3
512,2
513,2
514,3
515,0
516,2
517,4
518,1
519,1
520,3
521,0
522,2
523,0
524,1
525,4
526,4
527,2
528,1
529,1
530,2
531,0
532,4
