,0
0,739
1,737
2,65027
3,65489
4,1025
5,699
6,1089
7,679
8,501
9,769
10,659
11,703
12,627
13,741
14,632
15,720
16,675
17,516
18,666
19,532
20,692
21,561
22,656
23,652
24,656
25,673
26,907
27,713
28,635
29,713
30,829
31,997
32,64820
33,1099
34,1244
35,572
36,1277
37,1011
38,771
39,647
40,500
41,649
42,543
43,659
44,526
45,663
46,952
47,592
48,703
49,1018
50,1198
51,601
52,521
53,657
54,567
55,964
56,1154
57,722
58,602
59,613
60,721
61,697
62,507
63,927
64,621
65,455
66,4
67,980
68,764
69,626
70,617
71,560
72,65526
73,1020
74,1166
75,769
76,722
77,1096
78,789
79,1039
80,880
81,677
82,64806
83,1088
84,1186
85,684
86,664
87,781
88,947
89,912
90,528
91,644
92,521
93,663
94,655
95,663
96,518
97,610
98,64821
99,1100
100,686
101,740
102,535
103,587
104,711
105,646
106,1224
107,699
108,588
109,804
110,674
111,536
112,497
113,586
114,1289
115,622
116,816
117,1089
118,64816
119,1025
120,814
121,872
122,683
123,506
124,539
125,625
126,1216
127,756
128,969
129,647
130,867
131,754
132,1201
133,624
134,64816
135,1111
136,976
137,682
138,675
139,530
140,542
141,695
142,716
143,513
144,702
145,665
146,535
147,646
148,993
149,550
150,514
151,534
152,669
153,806
154,1164
155,527
156,710
157,616
158,673
159,504
160,667
161,1209
162,619
163,908
164,1011
165,508
166,1056
167,785
168,581
169,684
170,591
171,533
172,703
173,691
174,543
175,714
176,859
177,499
178,1206
179,548
180,1219
181,617
182,663
183,64827
184,1094
185,666
186,658
187,1081
188,794
189,64796
190,64760
191,64703
192,64664
193,64722
194,64820
195,64947
196,65078
197,65218
198,65397
199,65493
200,1092
201,569
202,582
203,510
204,930
205,840
206,822
207,657
208,1120
209,523
210,678
211,602
212,540
213,1090
214,537
215,1165
216,64807
217,971
218,509
219,612
220,683
221,501
222,619
223,516
224,567
225,772
226,587
227,601
228,935
229,727
230,537
231,742
232,530
233,612
234,674
235,567
236,343
237,543
238,665
239,543
240,508
241,1075
242,543
243,176
244,550
245,581
246,763
247,615
248,65535
249,732
250,835
251,495
252,658
253,1202
254,1353
255,65532
256,673
257,676
258,663
259,533
260,480
261,1090
262,504
263,1043
264,729
265,665
266,503
267,702
268,550
269,668
270,662
271,591
272,911
273,582
274,540
275,673
276,484
277,1159
278,671
279,743
280,558
281,658
282,877
283,587
284,1261
285,747
286,642
287,1138
288,537
289,630
290,972
291,828
292,692
293,907
294,748
295,557
296,687
297,693
298,653
299,689
300,1154
301,705
302,1166
303,663
304,681
305,685
306,666
307,502
308,757
309,638
310,527
311,670
312,740
313,737
314,621
315,504
316,1080
317,626
318,596
319,960
320,716
321,1099
322,487
323,64759
324,987
325,833
326,541
327,674
328,754
329,669
330,1196
331,568
332,1224
333,701
334,64828
335,1097
336,520
337,1101
338,626
339,540
340,1238
341,584
342,674
343,638
344,546
345,1080
346,717
347,539
348,860
349,714
350,530
351,526
352,500
353,569
354,531
355,520
356,546
357,955
358,720
359,1102
360,553
361,598
362,669
363,732
364,879
365,715
366,618
367,1059
368,491
369,868
370,535
371,919
372,1264
373,177
374,790
375,962
376,571
377,673
378,760
379,1071
380,855
381,683
382,1224
383,658
384,677
385,713
386,1300
387,9
388,709
389,1030
390,683
391,979
392,1224
393,725
394,539
395,485
396,771
397,527
398,728
399,553
400,1166
401,934
402,589
403,542
404,608
405,586
406,655
407,757
408,1112
409,627
410,593
411,491
412,1187
413,683
414,744
415,798
416,506
417,563
418,64814
419,932
420,518
421,767
422,694
423,978
424,506
425,681
426,562
427,567
428,764
429,719
430,802
431,617
432,634
433,521
