,0
0,739
1,737
2,65027
3,65489
4,999
5,699
6,1061
7,679
8,491
9,769
10,659
11,703
12,627
13,741
14,632
15,720
16,675
17,516
18,666
19,532
20,692
21,561
22,656
23,652
24,656
25,673
26,907
27,713
28,635
29,713
30,829
31,997
32,64820
33,1099
34,1244
35,572
36,1244
37,1011
38,771
39,647
40,500
41,649
42,543
43,659
44,526
45,663
46,952
47,592
48,703
49,1018
50,1165
51,601
52,510
53,657
54,557
55,964
56,1154
57,722
58,602
59,613
60,721
61,697
62,507
63,927
64,621
65,455
66,64379
67,64325
68,64273
69,64219
70,64276
71,64429
72,64606
73,64808
74,65021
75,65273
76,65436
77,953
78,764
79,626
80,617
81,560
82,64357
83,64298
84,64245
85,64190
86,64221
87,64369
88,64548
89,64754
90,64967
91,65220
92,65414
93,65471
94,1020
95,1166
96,753
97,722
98,1096
99,771
100,1039
101,880
102,677
103,64806
104,1088
105,1186
106,684
107,664
108,781
109,947
110,890
111,528
112,644
113,521
114,663
115,655
116,663
117,518
118,610
119,64821
120,1100
121,671
122,740
123,535
124,587
125,711
126,646
127,1224
128,699
129,588
130,804
131,660
132,527
133,497
134,586
135,1289
136,610
137,816
138,1060
139,64816
140,1025
141,796
142,852
143,683
144,506
145,539
146,625
147,1216
148,756
149,969
150,647
151,867
152,754
153,1201
154,624
155,64816
156,1111
157,952
158,682
159,675
160,530
161,542
162,695
163,716
164,513
165,702
166,665
167,526
168,646
169,993
170,550
171,506
172,534
173,669
174,806
175,1164
176,518
177,697
178,616
179,673
180,504
181,667
182,1175
183,619
184,908
185,1011
186,508
187,1056
188,785
189,581
190,684
191,591
192,533
193,703
194,676
195,543
196,714
197,859
198,499
199,1206
200,536
201,1219
202,617
203,663
204,64827
205,1094
206,666
207,658
208,1081
209,794
210,64834
211,1092
212,569
213,582
214,510
215,930
216,840
217,804
218,657
219,1120
220,514
221,678
222,590
223,540
224,1090
225,537
226,1165
227,64807
228,943
229,509
230,612
231,683
232,501
233,619
234,516
235,567
236,772
237,587
238,590
239,912
240,727
241,537
242,742
243,530
244,612
245,660
246,567
247,338
248,543
249,652
250,543
251,508
252,1075
253,543
254,176
255,550
256,581
257,763
258,615
259,65535
260,732
261,835
262,495
263,658
264,1171
265,1353
266,65533
267,673
268,676
269,663
270,533
271,480
272,1090
273,504
274,1043
275,729
276,665
277,503
278,702
279,550
280,655
281,662
282,579
283,911
284,582
285,529
286,673
287,484
288,1159
289,671
290,743
291,558
292,658
293,877
294,587
295,1261
296,747
297,642
298,1138
299,537
300,630
301,972
302,828
303,692
304,907
305,748
306,546
307,672
308,693
309,653
310,689
311,1154
312,705
313,1166
314,663
315,681
316,685
317,666
318,502
319,738
320,624
321,527
322,670
323,740
324,737
325,621
326,504
327,1080
328,626
329,596
330,960
331,700
332,1099
333,487
334,64759
335,987
336,815
337,541
338,674
339,738
340,669
341,1196
342,568
343,1224
344,701
345,64828
346,1097
347,520
348,1101
349,626
350,540
351,1238
352,584
353,674
354,638
355,536
356,1080
357,717
358,529
359,860
360,714
361,519
362,526
363,490
364,569
365,520
366,520
367,546
368,955
369,720
370,1102
371,553
372,586
373,669
374,732
375,879
376,715
377,618
378,1059
379,481
380,868
381,535
382,919
383,1264
384,177
385,790
386,962
387,571
388,673
389,760
390,1071
391,855
392,683
393,1224
394,643
395,677
396,713
397,1300
398,9
399,709
400,1030
401,683
402,979
403,1224
404,725
405,539
406,485
407,771
408,527
409,728
410,553
411,1166
412,934
413,589
414,542
415,608
416,586
417,655
418,757
419,1112
420,613
421,581
422,491
423,1155
424,683
425,744
426,798
427,496
428,563
429,64814
430,907
