,0
0,225
1,64767
2,1073
3,728
4,1027
5,706
6,679
7,670
8,536
9,691
10,880
11,596
12,498
13,659
14,534
15,990
16,64823
17,1086
18,673
19,514
20,915
21,490
22,0
23,480
24,523
25,546
26,506
27,780
28,526
29,703
30,525
31,675
32,64833
33,1028
34,409
35,627
36,714
37,665
38,772
39,714
40,795
41,510
42,741
43,632
44,932
45,589
46,65340
47,983
48,571
49,519
50,505
51,1216
52,609
53,681
54,526
55,489
56,64818
57,1080
58,642
59,1001
60,885
61,685
62,562
63,995
64,665
65,596
66,494
67,64770
68,976
69,491
70,612
71,862
72,606
73,500
74,676
75,522
76,530
77,679
78,594
79,683
80,719
81,638
82,669
83,528
84,842
85,594
86,689
87,609
88,650
89,657
90,531
91,595
92,527
93,64835
94,1100
95,502
96,604
97,659
98,590
99,708
100,714
101,649
102,489
103,704
104,518
105,687
106,658
107,703
108,690
109,780
110,547
111,552
112,682
113,671
114,586
115,828
116,64647
117,970
118,539
119,707
120,1337
121,0
122,484
123,519
124,524
125,616
126,643
127,986
128,988
129,751
130,678
131,538
132,607
133,494
134,767
135,760
136,676
137,699
138,746
139,643
140,736
141,680
142,540
143,507
144,651
145,510
146,527
147,683
148,895
149,533
150,660
151,2
152,609
153,869
154,556
155,527
156,547
157,662
158,643
159,746
160,717
161,1019
162,568
163,505
164,550
165,971
166,668
167,64314
168,64253
169,64195
170,64140
171,64178
172,64336
173,64520
174,64733
175,64958
176,65218
177,65411
178,65468
179,950
180,530
181,805
182,540
183,104
184,699
185,631
186,668
187,574
188,701
189,501
190,557
191,566
192,539
193,566
194,516
195,493
196,721
197,657
198,566
199,632
200,675
201,619
202,489
203,785
204,583
205,697
206,518
207,562
208,744
209,64840
210,993
211,701
212,99
213,65530
214,521
215,612
216,668
217,1094
218,679
219,491
220,866
221,693
222,64803
223,932
224,700
225,104
226,635
227,590
228,663
229,64812
230,1078
231,516
232,590
233,1236
234,523
235,1050
236,810
237,672
238,754
239,626
240,820
241,898
242,540
243,557
244,64821
245,1084
246,505
247,64814
248,727
249,64840
250,1015
251,479
252,727
253,951
254,782
255,681
256,665
257,592
258,650
259,657
260,291
261,935
262,689
263,742
264,539
265,501
266,683
267,714
268,611
269,677
270,588
271,574
272,536
273,593
274,670
275,530
276,506
277,546
278,697
279,480
280,491
281,669
282,562
283,522
284,682
285,677
286,703
287,702
288,618
289,672
290,671
291,593
292,678
293,64801
294,1104
295,653
296,597
297,641
298,706
299,728
300,722
301,718
302,692
303,687
304,682
305,692
306,707
307,657
308,606
309,501
310,712
311,496
312,678
313,687
314,665
315,544
316,526
317,537
318,678
319,531
320,491
321,500
322,181
323,672
324,729
325,700
326,730
327,662
328,691
329,1303
330,4
331,513
332,1108
333,529
334,656
335,539
336,199
337,590
338,498
339,736
340,603
341,535
342,1062
343,970
344,64722
345,1045
346,863
347,665
348,635
349,524
350,1021
351,664
352,661
353,670
354,1118
355,64674
356,1051
357,543
358,572
359,599
360,671
361,596
362,549
363,603
364,527
365,526
366,595
367,556
368,534
369,585
370,699
371,679
372,679
373,571
374,606
375,625
376,545
377,539
378,494
379,590
380,679
381,854
382,654
383,510
384,754
385,693
386,992
387,589
388,680
389,652
390,688
391,796
